bus_number,route_id,capacity,current_occupancy,available_seats,last_updated
SHIVNERI_101,PUNE_MUM,50,8,42,2026-09-19 17:20:00
SHIVNERI_102,PUNE_MUM,50,38,12,2026-09-19 17:20:00
SHIVNERI_103,PUNE_MUM,50,17,33,2026-09-19 17:20:00
SHIVNERI_104,PUNE_MUM,50,28,22,2026-09-19 17:20:00
SHIVNERI_105,PUNE_MUM,50,34,16,2026-09-19 17:20:00
PUNE_NASHIK_101,PUNE_NASHIK,40,14,26,2026-09-19 17:20:00
PUNE_NASHIK_102,PUNE_NASHIK,40,20,20,2026-09-19 17:20:00
PUNE_NASHIK_103,PUNE_NASHIK,40,14,26,2026-09-19 17:20:00
PUNE_NASHIK_104,PUNE_NASHIK,40,24,16,2026-09-19 17:20:00
PUNE_NASHIK_105,PUNE_NASHIK,40,32,8,2026-09-19 17:20:00
MUM_NAGPUR_101,MUM_NAGPUR,45,31,14,2026-09-19 17:20:00
MUM_NAGPUR_102,MUM_NAGPUR,45,25,20,2026-09-19 17:20:00
MUM_NAGPUR_103,MUM_NAGPUR,45,9,36,2026-09-19 17:20:00
MUM_NAGPUR_104,MUM_NAGPUR,45,45,0,2026-09-19 17:20:00
MUM_NAGPUR_105,MUM_NAGPUR,45,18,27,2026-09-19 17:20:00
PUNE_SOLAPUR_101,PUNE_SOLAPUR,40,31,9,2026-09-19 17:20:00
PUNE_SOLAPUR_102,PUNE_SOLAPUR,40,22,18,2026-09-19 17:20:00
PUNE_SOLAPUR_103,PUNE_SOLAPUR,40,23,17,2026-09-19 17:20:00
PUNE_SOLAPUR_104,PUNE_SOLAPUR,40,15,25,2026-09-19 17:20:00
PUNE_SOLAPUR_105,PUNE_SOLAPUR,40,21,19,2026-09-19 17:20:00
MUM_AHMEDABAD_101,MUM_AHMEDABAD,50,48,2,2026-09-19 17:20:00
MUM_AHMEDABAD_102,MUM_AHMEDABAD,50,43,7,2026-09-19 17:20:00
MUM_AHMEDABAD_103,MUM_AHMEDABAD,50,20,30,2026-09-19 17:20:00
MUM_AHMEDABAD_104,MUM_AHMEDABAD,50,30,20,2026-09-19 17:20:00
MUM_AHMEDABAD_105,MUM_AHMEDABAD,50,20,30,2026-09-19 17:20:00
PUNE_BANGALORE_101,PUNE_BANGALORE,50,12,38,2026-09-19 17:20:00
PUNE_BANGALORE_102,PUNE_BANGALORE,50,14,36,2026-09-19 17:20:00
PUNE_BANGALORE_103,PUNE_BANGALORE,50,17,33,2026-09-19 17:20:00
PUNE_BANGALORE_104,PUNE_BANGALORE,50,6,44,2026-09-19 17:20:00
PUNE_BANGALORE_105,PUNE_BANGALORE,50,20,30,2026-09-19 17:20:00
