bus_number,registration_number,capacity,depot_name,assigned_route_id,current_status
SHIVNERI_101,MH-12-SH-1001,50,Pune Central Swargate,PUNE_MUM,PUNCTURED
SHIVNERI_102,MH-12-SH-1002,50,Pune Central Swargate,PUNE_MUM,RUNNING
SHIVNERI_103,MH-12-SH-1003,50,Pune Central Swargate,PUNE_MUM,RUNNING
SHIVNERI_104,MH-12-SH-1004,50,Pune Central Swargate,PUNE_MUM,DELAYED
SHIVNERI_105,MH-12-SH-1005,50,Pune Central Swargate,PUNE_MUM,AVAILABLE
PUNE_NASHIK_101,MH-12-PN-2001,40,Shivajinagar Depot,PUNE_NASHIK,BREAKDOWN
PUNE_NASHIK_102,MH-12-PN-2002,40,Shivajinagar Depot,PUNE_NASHIK,RUNNING
PUNE_NASHIK_103,MH-12-PN-2003,40,Shivajinagar Depot,PUNE_NASHIK,RUNNING
PUNE_NASHIK_104,MH-12-PN-2004,40,Shivajinagar Depot,PUNE_NASHIK,DELAYED
PUNE_NASHIK_105,MH-12-PN-2005,40,Shivajinagar Depot,PUNE_NASHIK,DISPATCHED
MUM_NAGPUR_101,MH-01-MN-3001,45,Mumbai Central Depot,MUM_NAGPUR,RUNNING
MUM_NAGPUR_102,MH-01-MN-3002,45,Mumbai Central Depot,MUM_NAGPUR,RUNNING
MUM_NAGPUR_103,MH-01-MN-3003,45,Mumbai Central Depot,MUM_NAGPUR,RUNNING
MUM_NAGPUR_104,MH-01-MN-3004,45,Mumbai Central Depot,MUM_NAGPUR,DELAYED
MUM_NAGPUR_105,MH-01-MN-3005,45,Mumbai Central Depot,MUM_NAGPUR,AVAILABLE
PUNE_SOLAPUR_101,MH-12-PS-4001,40,Swargate Depot,PUNE_SOLAPUR,RUNNING
PUNE_SOLAPUR_102,MH-12-PS-4002,40,Swargate Depot,PUNE_SOLAPUR,RUNNING
PUNE_SOLAPUR_103,MH-12-PS-4003,40,Swargate Depot,PUNE_SOLAPUR,RUNNING
PUNE_SOLAPUR_104,MH-12-PS-4004,40,Swargate Depot,PUNE_SOLAPUR,DELAYED
PUNE_SOLAPUR_105,MH-12-PS-4005,40,Swargate Depot,PUNE_SOLAPUR,AVAILABLE
MUM_AHMEDABAD_101,MH-02-MA-5001,50,Borivali Depot,MUM_AHMEDABAD,RUNNING
MUM_AHMEDABAD_102,MH-02-MA-5002,50,Borivali Depot,MUM_AHMEDABAD,RUNNING
MUM_AHMEDABAD_103,MH-02-MA-5003,50,Borivali Depot,MUM_AHMEDABAD,RUNNING
MUM_AHMEDABAD_104,MH-02-MA-5004,50,Borivali Depot,MUM_AHMEDABAD,DELAYED
MUM_AHMEDABAD_105,MH-02-MA-5005,50,Borivali Depot,MUM_AHMEDABAD,AVAILABLE
PUNE_BANGALORE_101,MH-12-PB-6001,50,Katraj Depot,PUNE_BANGALORE,RUNNING
PUNE_BANGALORE_102,MH-12-PB-6002,50,Katraj Depot,PUNE_BANGALORE,RUNNING
PUNE_BANGALORE_103,MH-12-PB-6003,50,Katraj Depot,PUNE_BANGALORE,RUNNING
PUNE_BANGALORE_104,MH-12-PB-6004,50,Katraj Depot,PUNE_BANGALORE,DELAYED
PUNE_BANGALORE_105,MH-12-PB-6005,50,Katraj Depot,PUNE_BANGALORE,AVAILABLE
123,MH-12-RN-1234,40,Pune Central Depot,101,PUNCTURED
156,MH-12-RN-5678,40,Pune Central Depot,106,RUNNING
178,MH-12-RN-9012,40,Pune Central Depot,107,DELAYED
189,MH-12-RN-3456,40,Pune Central Depot,101,AVAILABLE
