route_number,stop_code,weekday,hour_of_day,delay_minutes,delay_reason,sample_date
101,STP-MAG,0,17,14.0,TRAFFIC,2026-09-01
101,STP-MAG,1,17,13.5,TYRE_PUNCTURE,2026-09-02
101,STP-MAG,2,17,15.0,TRAFFIC,2026-09-03
101,STP-MAG,3,17,14.0,PASSENGER_SURGE,2026-09-04
101,STP-MAG,4,17,14.5,TRAFFIC,2026-09-05
101,STP-MAG,5,17,13.0,TRAFFIC,2026-09-06
101,STP-MAG,6,17,12.5,TRAFFIC,2026-09-07
101,STP-MAG,0,18,14.0,TRAFFIC,2026-09-08
101,STP-MAG,1,18,14.0,TRAFFIC,2026-09-09
101,STP-MAG,2,18,14.2,TRAFFIC,2026-09-10
101,STP-HAD,0,17,15.0,TRAFFIC,2026-09-01
101,STP-HAD,1,17,16.0,TRAFFIC,2026-09-02
101,STP-HAD,2,17,14.0,TRAFFIC,2026-09-03
102,STP-KAT,0,18,8.0,TRAFFIC,2026-09-01
102,STP-KAT,1,18,8.5,TRAFFIC,2026-09-02
102,STP-KAT,2,18,7.5,TRAFFIC,2026-09-03
103,STP-VIM,0,17,11.0,TRAFFIC,2026-09-01
103,STP-VIM,1,17,12.0,TRAFFIC,2026-09-02
103,STP-VIM,2,17,11.5,TRAFFIC,2026-09-03
104,STP-HIN,0,18,16.0,TRAFFIC,2026-09-01
104,STP-HIN,1,18,17.0,TRAFFIC,2026-09-02
104,STP-HIN,2,18,16.5,TRAFFIC,2026-09-03
